Gender,Age,POLAR4 Quintile,POLAR3 Quintile,Adult HE 2001 Quintile,Adult HE 2011 Quintile,TUNDRA MSOA Quintile,TUNDRA LSOA Quintile,Gaps GCSE Quintile ,Gaps GCSE Ethnicity Quintile,Uni Connect target ward,attending from home?,distance to university (km),Count of Module Area Logins,Total Hours in Module Area,Percent of Average Hours in Module Area,# of presence,# of Absence,Percent Attended,label
0.0,21.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,49.76421155,35.0,14.61,0.597099361,3.0,9.0,25.0,0.0
0.0,20.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,0.0,1.0,9.018146422,36.0,20.34,0.831280013,6.0,6.0,50.0,0.0
0.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,43.19664358,81.0,35.82,1.463935599,10.0,2.0,83.33333333,0.0
0.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,37.51395954,43.0,27.21,1.112051581,10.0,2.0,83.33333333,0.0
1.0,20.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,0.0,1.0,14.20329549,48.0,39.35,1.608203959,12.0,0.0,100.0,0.0
0.0,20.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,18.48897279,93.0,29.57,1.20850295,12.0,0.0,100.0,0.0
0.0,20.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,0.0,57.0,31.88,1.302910857,7.0,5.0,58.33333333,0.0
0.0,19.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,57.78687961,52.0,20.21,0.825967014,8.0,3.0,66.66666667,0.0
0.0,20.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,0.0,1.0,83.67401388,52.0,16.38,0.669437887,11.0,1.0,91.66666667,0.0
0.0,21.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,1.0,260.3132079,73.0,17.31,0.707446265,11.0,1.0,91.66666667,0.0
1.0,29.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.528501411,68.0,36.96,1.510526514,11.0,1.0,91.66666667,0.0
0.0,20.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,0.0,1.0,59.84100955,96.0,51.25,2.094547723,5.0,5.0,41.66666667,0.0
0.0,19.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,0.0,1.0,33.90047247,101.0,52.52,2.146451637,13.0,3.0,100.0,0.0
0.0,20.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0,1.0,15.71160919,29.0,17.85,0.729515646,6.0,6.0,50.0,0.0
0.0,20.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,89.5693632,55.0,26.02,1.063417205,12.0,0.0,100.0,0.0
0.0,41.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,119.0,65.14,2.662221242,12.0,0.0,100.0,0.0
